lang_index,word_index,word
1,416,χρειάζομαι νερό
2,416,I need water
1,417,Είναι το λαυράκι σαν τσιπούρα;
2,417,is lavraki like tsipura?
1,418,πρέπει να φύγω τώρα
2,418,I have to go now
1,419,πρέπει να πάω εκεί
2,419,I have to go there
1,420,πρέπει
2,420,I must
1,421,πρέπει να το έχω
2,421,I must have it
1,422,μπορείς να ανοίξεις το παράθυρο;
2,422,can you open the window?
1,423,πρέπει να πάω εκεί την επόμενη εβδομάδα
2,423,i have to go there next week
1,424,επόμενο παρακαλώ
2,424,next please
1,425,στο μέλλον
2,425,In the future
1,426,άλλοτε
2,426,in the past
1,427,συμβαίνει σε όλους
2,427,it happens to everyone
1,428,Γιατί όχι;
2,428,why not?
1,429,σίγουρος
2,429,sure
1,430,ίσως πάω
2,430,maybe I will go
1,431,παρακαλώ επιλέξτε την επιλογή νούμερο τρία
2,431,please select option number three
1,432,παρακαλώ επιλέξτε την τρίτη επιλογή
2,432,please select the third option
1,433,ο ουρανός είναι μπλε
2,433,the sky is blue
1,434,γαλάζια
2,434,light blue
1,435,η θάλασσα είναι γαλάζια
2,435,the sea is light blue
1,436,ψηλά
2,436,high
1,437,ο λόφος είναι ψηλός
2,437,the hill is high
1,438,ο άντρας είναι κοντός
2,438,the man is short
1,439,αυτή η γυναίκα είναι ψηλή
2,439,that woman is tall
1,440,αδύνατος
2,440,impossible
1,441,αδιανόητος
2,441,inconceivable
1,442,θα ξεκινήσω αργότερα
2,442,I will start later
1,443,ξεκίνησε ήδη
2,443,it started already
1,444,θα ξεκινήσει σύντομα
2,444,it will start soon
1,445,θα τελειώσει σύντομα
2,445,it will end soon
1,446,σύντομα
2,446,soon
1,447,είναι το τέλος
2,447,it is the end
1,448,το τέλος του δρόμου
2,448,the end of the road
1,449,γέφυρα
2,449,bridge
1,450,λεωφορείο
2,450,bus
1,451,ποδήλατο
2,451,bicycle
1,452,φωνάζω
2,452,I shout
1,453,μια κραυγή
2,453,a shout
1,454,ένας ψίθυρος
2,454,a whisper
1,455,ψιθυρίζω
2,455,I whisper
1,456,υποθέτω
2,456,I guess
1,457,μια εικασία
2,457,a guess
1,458,μια εξέταση
2,458,an exam
1,459,μια εξέταση αίματος
2,459,a blood test
1,460,δοκίμασα τη σούπα
2,460,I tried the soup
1,461,θα προσπαθήσω
2,461,I will try
1,462,προσπαθώ
2,462,I am trying
1,463,προσπάθησα να το κάνω
2,463,I tried to do it
1,464,πέρασα την εξέταση
2,464,I passed the exam
1,465,απέτυχα στις εξετάσεις
2,465,I failed the exam
1,466,απέτυχα στο τεστ
2,466,I failed the test
1,467,πέρασα το τεστ
2,467,I passed the test
